Created at,Closed at,State
2024-06-16 10:57:32+00:00,,open
2024-06-15 17:54:06+00:00,2024-06-15 20:58:13+00:00,closed
2024-06-15 17:52:26+00:00,2024-06-15 20:57:55+00:00,closed
2024-06-15 17:50:47+00:00,2024-06-15 20:57:32+00:00,closed
2024-06-15 11:04:12+00:00,,open
2024-06-15 08:57:57+00:00,2024-06-15 17:44:32+00:00,closed
2024-06-14 23:33:36+00:00,,open
2024-06-14 15:51:32+00:00,2024-06-15 11:10:00+00:00,closed
2024-06-14 15:46:34+00:00,2024-06-15 11:10:21+00:00,closed
2024-06-14 15:05:40+00:00,,open
2024-06-14 12:40:19+00:00,,open
2024-06-14 11:57:36+00:00,,open
2024-06-14 08:58:21+00:00,2024-06-15 17:43:53+00:00,closed
2024-06-14 05:33:01+00:00,,open
2024-06-13 13:50:04+00:00,2024-06-14 10:09:27+00:00,closed
2024-06-12 18:38:26+00:00,2024-06-13 04:54:09+00:00,closed
2024-06-12 17:56:19+00:00,,open
2024-06-11 07:14:27+00:00,2024-06-11 08:24:33+00:00,closed
2024-06-11 05:14:50+00:00,2024-06-11 18:26:10+00:00,closed
2024-06-10 20:48:44+00:00,,open
2024-06-10 20:05:48+00:00,,open
2024-06-10 20:02:17+00:00,2024-06-11 08:13:02+00:00,closed
2024-06-10 06:02:06+00:00,2024-06-15 07:21:41+00:00,closed
2024-06-08 09:01:17+00:00,2024-06-10 05:58:46+00:00,closed
2024-06-08 06:50:57+00:00,,open
2024-06-07 13:25:57+00:00,,open
2024-06-07 06:06:09+00:00,,open
2024-06-07 02:41:41+00:00,,open
2024-06-06 18:32:54+00:00,2024-06-14 11:44:54+00:00,closed
2024-06-06 09:43:05+00:00,2024-06-07 13:19:05+00:00,closed
2024-06-06 02:26:09+00:00,,open
2024-06-06 02:18:14+00:00,2024-06-06 02:29:19+00:00,closed
2024-06-05 22:14:54+00:00,,open
2024-06-05 15:29:01+00:00,,open
2024-06-05 10:04:26+00:00,2024-06-05 14:10:15+00:00,closed
2024-06-05 10:03:30+00:00,2024-06-05 14:10:36+00:00,closed
2024-06-05 03:44:35+00:00,,open
2024-06-04 21:55:19+00:00,,open
2024-06-04 19:43:01+00:00,,open
2024-06-04 08:04:19+00:00,,open
2024-06-04 07:57:46+00:00,2024-06-04 10:01:51+00:00,closed
2024-06-04 06:35:51+00:00,2024-06-05 02:35:37+00:00,closed
2024-06-04 06:28:22+00:00,2024-06-04 06:35:04+00:00,closed
2024-06-04 04:35:42+00:00,2024-06-04 05:54:03+00:00,closed
2024-06-04 03:43:53+00:00,2024-06-04 03:48:20+00:00,closed
2024-06-04 00:15:36+00:00,2024-06-04 10:02:59+00:00,closed
2024-06-03 19:37:17+00:00,2024-06-04 00:44:53+00:00,closed
2024-06-03 18:00:55+00:00,,open
2024-06-03 11:22:16+00:00,,open
2024-06-03 07:50:50+00:00,2024-06-03 08:52:21+00:00,closed
2024-06-03 07:46:00+00:00,2024-06-04 04:59:16+00:00,closed
2024-06-03 06:40:43+00:00,,open
2024-06-03 05:55:48+00:00,2024-06-04 04:58:26+00:00,closed
2024-06-03 02:50:53+00:00,2024-06-03 13:02:19+00:00,closed
2024-06-02 23:42:37+00:00,,open
2024-06-02 05:41:18+00:00,,open
2024-06-02 05:39:57+00:00,,open
2024-06-01 03:00:20+00:00,2024-06-02 05:13:54+00:00,closed
2024-06-01 03:00:11+00:00,2024-06-03 05:53:21+00:00,closed
2024-06-01 03:00:08+00:00,2024-06-03 08:52:22+00:00,closed
2024-06-01 03:00:04+00:00,2024-06-01 18:11:49+00:00,closed
2024-06-01 02:57:12+00:00,2024-06-03 13:04:53+00:00,closed
2024-06-01 02:57:07+00:00,2024-06-03 13:03:42+00:00,closed
2024-06-01 02:42:07+00:00,2024-06-03 13:03:59+00:00,closed
2024-06-01 02:42:01+00:00,2024-06-03 13:21:44+00:00,closed
2024-06-01 02:41:59+00:00,2024-06-03 07:59:10+00:00,closed
2024-06-01 02:41:56+00:00,2024-06-03 13:03:03+00:00,closed
2024-06-01 02:22:03+00:00,2024-06-03 07:58:53+00:00,closed
2024-05-31 17:31:33+00:00,2024-06-04 04:58:58+00:00,closed
2024-05-31 17:21:56+00:00,,open
2024-05-31 16:47:12+00:00,,open
2024-05-31 14:08:44+00:00,2024-06-01 18:06:35+00:00,closed
2024-05-31 05:11:50+00:00,,open
2024-05-31 05:06:01+00:00,2024-06-01 18:07:56+00:00,closed
2024-05-31 03:53:05+00:00,2024-05-31 09:53:05+00:00,closed
2024-05-30 22:52:21+00:00,2024-06-04 02:28:55+00:00,closed
2024-05-30 13:52:16+00:00,2024-05-30 15:14:42+00:00,closed
2024-05-30 13:03:35+00:00,2024-05-31 00:02:21+00:00,closed
2024-05-30 12:16:31+00:00,2024-05-30 13:39:57+00:00,closed
2024-05-30 10:37:47+00:00,2024-05-31 00:03:20+00:00,closed
2024-05-30 05:50:42+00:00,2024-05-31 00:01:18+00:00,closed
2024-05-29 23:16:14+00:00,2024-05-29 23:24:40+00:00,closed
2024-05-29 21:31:57+00:00,2024-06-15 07:21:41+00:00,closed
2024-05-29 17:41:37+00:00,,open
2024-05-29 15:33:11+00:00,2024-05-31 05:16:40+00:00,closed
2024-05-29 12:50:53+00:00,2024-05-31 08:46:16+00:00,closed
2024-05-29 08:03:34+00:00,2024-05-29 09:13:30+00:00,closed
2024-05-29 04:46:46+00:00,,open
2024-05-29 01:46:23+00:00,2024-05-30 15:17:45+00:00,closed
2024-05-28 20:00:47+00:00,2024-05-30 11:43:32+00:00,closed
2024-05-28 08:20:02+00:00,2024-05-28 18:28:15+00:00,closed
2024-05-28 02:52:24+00:00,2024-05-28 11:08:40+00:00,closed
2024-05-28 02:31:15+00:00,2024-05-28 09:44:44+00:00,closed
2024-05-27 16:06:48+00:00,2024-05-28 18:28:15+00:00,closed
2024-05-27 11:02:09+00:00,2024-05-28 02:20:50+00:00,closed
2024-05-27 10:42:18+00:00,,open
2024-05-25 20:13:42+00:00,,open
2024-05-25 19:29:50+00:00,,open
2024-05-25 19:24:04+00:00,2024-05-27 02:26:34+00:00,closed
2024-05-25 18:32:54+00:00,2024-05-27 02:27:32+00:00,closed
2024-05-25 05:46:39+00:00,,open
2024-05-24 13:45:14+00:00,2024-06-08 03:53:23+00:00,closed
2024-05-24 05:29:08+00:00,,open
2024-05-23 19:57:58+00:00,2024-05-24 09:28:31+00:00,closed
2024-05-23 17:31:05+00:00,2024-05-30 12:14:39+00:00,closed
2024-05-23 16:48:34+00:00,2024-05-28 22:46:01+00:00,closed
2024-05-23 16:30:14+00:00,2024-05-28 17:23:07+00:00,closed
2024-05-23 09:56:06+00:00,2024-05-28 22:43:16+00:00,closed
