,commit_month,Author,Passed all test
0,12,david-cortes,True
1,12,david-cortes,True
2,12,david-cortes,True
3,12,Philip Hyunsu Cho,True
4,12,Jiaming Yuan,True
5,12,david-cortes,True
6,12,Michael Mayer,True
7,12,Jiaming Yuan,True
8,12,Michael Mayer,True
9,12,david-cortes,True
10,12,Jiaming Yuan,True
11,12,david-cortes,True
12,12,david-cortes,True
13,12,Jiaming Yuan,True
14,12,david-cortes,True
15,12,Dmitry Razdoburdin,True
16,12,Jiaming Yuan,True
17,12,Jiaming Yuan,True
18,12,Jiaming Yuan,True
19,12,david-cortes,True
20,12,Philip Hyunsu Cho,True
21,12,david-cortes,True
22,12,github-actions[bot],True
23,12,Dmitry Razdoburdin,True
24,12,david-cortes,True
25,12,Jiaming Yuan,True
26,12,Jiaming Yuan,True
27,12,david-cortes,True
28,12,Jiaming Yuan,True
29,12,Jiaming Yuan,True
30,12,Jiaming Yuan,True
31,12,david-cortes,True
32,12,david-cortes,False
33,12,Jiaming Yuan,True
34,12,david-cortes,True
35,12,david-cortes,True
36,12,david-cortes,True
37,12,david-cortes,True
38,12,Dmitry Razdoburdin,True
39,12,david-cortes,True
40,12,Jiaming Yuan,True
41,12,Jiaming Yuan,True
42,11,david-cortes,True
43,11,david-cortes,True
44,11,Yuan (Terry) Tang,True
45,11,Jiaming Yuan,True
46,11,david-cortes,True
47,11,Jiaming Yuan,True
48,11,david-cortes,True
49,11,Jiaming Yuan,True
50,11,Jiaming Yuan,True
51,11,Jiaming Yuan,True
52,11,Jiaming Yuan,True
53,11,Jiaming Yuan,True
54,11,Jiaming Yuan,True
55,11,Jiaming Yuan,True
56,11,Jiaming Yuan,True
57,11,Bobby Wang,True
58,11,Jiaming Yuan,True
59,11,Bobby Wang,True
60,11,Ken Geis,True
61,11,Jiaming Yuan,True
62,11,Jiaming Yuan,True
63,11,Jiaming Yuan,True
64,11,Jiaming Yuan,True
65,11,Jiaming Yuan,True
66,11,Jiaming Yuan,True
67,11,Jiaming Yuan,True
68,11,Bobby Wang,True
69,11,david-cortes,True
70,11,Jiaming Yuan,True
71,11,Philip Hyunsu Cho,True
72,11,Philip Hyunsu Cho,True
73,10,david-cortes,True
74,10,Jiaming Yuan,True
75,10,Philip Hyunsu Cho,True
76,10,Jiaming Yuan,True
77,10,Bobby Wang,True
78,10,omahs,True
79,10,Jiaming Yuan,True
80,10,James Lamb,False
81,10,Dmitry Razdoburdin,True
82,10,Bobby Wang,False
83,10,Dmitry Razdoburdin,False
84,10,Philip Hyunsu Cho,True
85,10,Philip Hyunsu Cho,True
86,10,Jiaming Yuan,True
87,10,Hyunsu Cho,False
88,10,Philip Hyunsu Cho,False
89,10,Jiaming Yuan,True
90,10,Philip Hyunsu Cho,True
91,10,Philip Hyunsu Cho,False
92,10,Jiaming Yuan,True
93,10,Rong Ou,True
94,10,Chuck Atkins,True
95,10,Philip Hyunsu Cho,True
96,10,Jiaming Yuan,True
97,10,Dmitry Razdoburdin,True
98,10,Jiaming Yuan,True
99,10,Jiaming Yuan,True
100,10,Rong Ou,True
101,10,Bobby Wang,True
102,10,Thomas Lynn,True
103,10,Philip Hyunsu Cho,True
104,10,James Lamb,True
105,10,Jiaming Yuan,True
106,10,Jiaming Yuan,True
107,10,Philip Hyunsu Cho,True
108,10,Jiaming Yuan,True
109,10,Rong Ou,True
110,10,github-actions[bot],True
111,10,Jiaming Yuan,True
112,10,James Lamb,True
113,10,Jiaming Yuan,True
114,10,James Lamb,True
115,10,Rong Ou,True
116,10,Jiaming Yuan,True
117,10,Jiaming Yuan,True
118,10,Jiaming Yuan,True
119,10,James Lamb,False
120,10,James Lamb,False
121,9,Jiaming Yuan,True
122,9,Jiaming Yuan,True
123,9,Jiaming Yuan,True
124,9,Jordan Fréry,True
125,9,Jiaming Yuan,True
126,9,Rong Ou,True
127,9,Jordan Fréry,True
128,9,Rong Ou,True
129,9,Jiaming Yuan,True
130,9,Benoit Chevallier-Mames,True
131,9,Rong Ou,True
132,9,Jiaming Yuan,True
133,9,Jiaming Yuan,True
134,9,Rong Ou,True
135,9,Jiaming Yuan,True
136,9,Jiaming Yuan,True
137,9,Jiaming Yuan,True
138,9,Jiaming Yuan,False
139,9,Jiaming Yuan,False
140,9,Jiaming Yuan,True
141,9,Jiaming Yuan,True
142,9,James Lamb,True
143,9,Rong Ou,True
144,9,Rong Ou,True
145,9,Jiaming Yuan,True
146,9,Jiaming Yuan,True
147,9,Jiaming Yuan,True
148,9,Ikko Eltociear Ashimine,True
149,9,Jon Yoquinto,False
150,9,Jiaming Yuan,True
151,9,Rong Ou,True
152,9,Bobby Wang,True
153,9,Rong Ou,True
154,9,Jiaming Yuan,True
155,9,Jiaming Yuan,False
156,9,James Lamb,False
157,9,Bobby Wang,True
158,9,James Lamb,True
159,9,Rong Ou,True
160,8,Rong Ou,True
161,8,Jiaming Yuan,True
162,8,dependabot[bot],False
163,8,Jiaming Yuan,True
164,8,Jiaming Yuan,True
165,8,Jiaming Yuan,True
166,8,Jiaming Yuan,True
167,8,Jiaming Yuan,True
168,8,Jiaming Yuan,True
169,8,Jiaming Yuan,True
170,8,Jiaming Yuan,True
171,8,Jiaming Yuan,True
172,8,Rong Ou,True
173,8,Jiaming Yuan,True
174,8,Jiaming Yuan,True
175,8,Jiaming Yuan,True
176,8,Jiaming Yuan,True
177,8,dependabot[bot],True
178,8,Jiaming Yuan,True
179,8,Jiaming Yuan,True
180,8,dependabot[bot],True
181,8,Jiaming Yuan,True
182,8,dependabot[bot],True
183,8,dependabot[bot],True
184,8,Jiaming Yuan,True
185,8,dependabot[bot],True
186,8,Thomas Zeger,True
187,8,Jiaming Yuan,True
188,8,Bobby Wang,True
189,8,Jiaming Yuan,True
190,8,Jiaming Yuan,True
191,8,Sean Yang,True
192,8,Jiaming Yuan,True
193,8,Jiaming Yuan,True
194,8,James Lamb,True
195,8,Boris,True
196,8,Jiaming Yuan,True
197,8,James Lamb,True
198,8,James Lamb,False
199,8,Bobby Wang,False
200,8,Jiaming Yuan,False
201,8,github-actions[bot],True
202,8,Jiaming Yuan,True
203,8,Jiaming Yuan,True
204,8,Jiaming Yuan,True
205,8,Jiaming Yuan,True
206,8,James Lamb,True
207,8,ShaneConneely,True
208,8,James Lamb,True
209,8,James Lamb,True
210,8,James Lamb,True
211,8,Jiaming Yuan,True
212,8,Jiaming Yuan,True
213,8,Jiaming Yuan,True
214,8,Bobby Wang,True
215,8,joshbrowning2358,True
216,8,Jiaming Yuan,True
217,8,Philip Hyunsu Cho,True
218,8,Jiaming Yuan,True
219,8,Philip Hyunsu Cho,True
220,8,Jiaming Yuan,False
221,8,Jiaming Yuan,True
222,8,Philip Hyunsu Cho,True
223,8,Philip Hyunsu Cho,True
224,8,Rong Ou,True
225,8,Philip Hyunsu Cho,True
226,8,jinmfeng001,True
227,8,Jiaming Yuan,True
228,8,Hendrik Makait,True
229,8,Jiaming Yuan,True
230,8,Jiaming Yuan,True
231,8,Rong Ou,True
232,8,Jiaming Yuan,True
233,7,Jiaming Yuan,True
234,7,Bobby Wang,False
235,7,Rong Ou,True
236,7,Nicholas Hilton,True
237,7,Jiaming Yuan,True
238,7,Bobby Wang,True
239,7,Jiaming Yuan,True
240,7,Jiaming Yuan,True
241,7,Jiaming Yuan,True
242,7,Jiaming Yuan,True
243,7,Jiaming Yuan,True
244,7,Jiaming Yuan,True
245,7,Jiaming Yuan,True
246,7,Rong Ou,True
247,7,Jiaming Yuan,True
248,7,Jiaming Yuan,True
249,7,Philip Hyunsu Cho,True
250,7,Jiaming Yuan,True
251,7,Philip Hyunsu Cho,True
252,7,Jiaming Yuan,True
253,7,Jiaming Yuan,True
254,7,Jiaming Yuan,True
255,7,Jiaming Yuan,True
256,7,Jiaming Yuan,True
257,7,Jiaming Yuan,True
258,7,Jiaming Yuan,True
259,7,Cássia Sampaio,True
260,7,jinmfeng001,True
261,7,Rong Ou,True
262,7,Jiaming Yuan,True
263,7,Jiaming Yuan,True
264,7,edumugi,True
265,7,Jiaming Yuan,True
266,7,Rong Ou,True
267,7,Jiaming Yuan,True
268,7,Jiaming Yuan,True
269,7,Jiaming Yuan,True
270,7,Oliver Holworthy,True
271,7,Boris,True
272,7,Jiaming Yuan,True
273,7,Jiaming Yuan,True
274,7,Jiaming Yuan,True
275,7,Jiaming Yuan,True
276,7,Rong Ou,True
277,6,Rong Ou,True
278,6,Jiaming Yuan,True
279,6,Jiaming Yuan,True
280,6,jasjung,True
281,6,Jiaming Yuan,True
282,6,Jiaming Yuan,True
