,commit_month,Author,Passed all test
573,1.0,James Lamb,True
572,1.0,dependabot[bot],True
571,1.0,Jiaming Yuan,True
570,1.0,Jiaming Yuan,True
569,1.0,James Lamb,True
568,1.0,Jiaming Yuan,True
567,1.0,Jiaming Yuan,True
566,1.0,Bobby Wang,True
565,1.0,Jiaming Yuan,True
564,1.0,Jiaming Yuan,True
563,1.0,Emre Batuhan Baloğlu,True
562,1.0,Jiaming Yuan,True
561,1.0,Bobby Wang,True
560,1.0,Jiaming Yuan,True
559,1.0,Jiaming Yuan,True
558,1.0,Jiaming Yuan,True
557,1.0,Bobby Wang,True
556,1.0,Jiaming Yuan,True
555,1.0,Jiaming Yuan,True
554,1.0,Jiaming Yuan,True
553,1.0,Jiaming Yuan,True
552,1.0,James Lamb,True
551,1.0,Jiaming Yuan,True
550,1.0,James Lamb,True
549,1.0,dependabot[bot],True
548,1.0,dependabot[bot],True
547,1.0,Jiaming Yuan,True
546,1.0,Jiaming Yuan,True
545,1.0,Jiaming Yuan,True
544,1.0,Jiaming Yuan,True
543,1.0,James Lamb,True
542,1.0,Jiaming Yuan,True
541,1.0,James Lamb,True
540,1.0,Rong Ou,True
539,1.0,Jiaming Yuan,True
538,1.0,Jiaming Yuan,True
537,1.0,Jiaming Yuan,True
536,1.0,James Lamb,True
535,1.0,Jiaming Yuan,True
534,1.0,Jiaming Yuan,True
533,1.0,Jiaming Yuan,True
532,1.0,Jiaming Yuan,True
531,1.0,James Lamb,True
530,1.0,Philip Hyunsu Cho,True
529,1.0,James Lamb,True
528,1.0,Rong Ou,True
527,1.0,Jiaming Yuan,True
526,1.0,Jiaming Yuan,True
525,1.0,Jiaming Yuan,True
524,1.0,James Lamb,True
523,1.0,Hamel Husain,True
522,2.0,Jiaming Yuan,True
521,2.0,Philip Hyunsu Cho,True
520,2.0,BenEfrati,True
519,2.0,Jiaming Yuan,True
518,2.0,Rong Ou,True
517,2.0,Rory Mitchell,True
516,2.0,Jiaming Yuan,True
515,2.0,Jiaming Yuan,True
514,2.0,Jiaming Yuan,True
513,2.0,Jiaming Yuan,True
512,2.0,Jiaming Yuan,True
511,2.0,Jiaming Yuan,True
510,2.0,Rong Ou,True
509,2.0,Jiaming Yuan,True
508,2.0,Jiaming Yuan,True
507,2.0,Jiaming Yuan,True
506,2.0,Dai-Jie (Jay) Wu,True
505,2.0,Jiaming Yuan,True
504,2.0,Jiaming Yuan,True
503,2.0,Jiaming Yuan,True
502,2.0,Jiaming Yuan,True
501,2.0,Jiaming Yuan,True
500,2.0,Rong Ou,True
499,2.0,Jiaming Yuan,True
498,2.0,Jiaming Yuan,True
497,2.0,Jiaming Yuan,True
496,2.0,Jiaming Yuan,True
495,2.0,Jiaming Yuan,True
494,2.0,WeichenXu,True
493,2.0,Rong Ou,True
492,2.0,Jiaming Yuan,True
491,2.0,Jiaming Yuan,True
490,2.0,Jiaming Yuan,True
489,2.0,Jiaming Yuan,True
488,2.0,Jiaming Yuan,True
487,2.0,Jiaming Yuan,True
486,2.0,dependabot[bot],True
485,2.0,dependabot[bot],True
484,2.0,dependabot[bot],True
483,2.0,Rong Ou,True
482,2.0,Mauro Leggieri,True
481,2.0,Rong Ou,True
480,2.0,Jiaming Yuan,True
479,3.0,Philip Hyunsu Cho,True
478,3.0,Rong Ou,True
477,3.0,Rong Ou,True
476,3.0,Jiaming Yuan,True
475,3.0,mzzhang95,True
474,3.0,Rory Mitchell,True
473,3.0,Rong Ou,True
472,3.0,Jiaming Yuan,True
471,3.0,Jiaming Yuan,True
470,3.0,Jiaming Yuan,True
469,3.0,Jiaming Yuan,True
468,3.0,Jiaming Yuan,True
467,3.0,Jiaming Yuan,True
466,3.0,dependabot[bot],True
465,3.0,dependabot[bot],True
464,3.0,dependabot[bot],True
463,3.0,dependabot[bot],True
462,3.0,dependabot[bot],True
461,3.0,Jiaming Yuan,True
460,3.0,dependabot[bot],True
459,3.0,Jiaming Yuan,True
458,3.0,dependabot[bot],True
457,3.0,Jiaming Yuan,True
456,3.0,Krzysztof Dyba,True
455,3.0,Jiaming Yuan,True
454,3.0,Jiaming Yuan,True
453,3.0,Jiaming Yuan,True
452,3.0,Jiaming Yuan,True
451,3.0,Jiaming Yuan,True
450,3.0,Jiaming Yuan,True
449,3.0,Rong Ou,True
448,3.0,Jiaming Yuan,True
447,3.0,Jiaming Yuan,True
446,3.0,Jiaming Yuan,True
445,3.0,Jiaming Yuan,True
444,3.0,Jiaming Yuan,True
443,3.0,Jiaming Yuan,True
442,3.0,Jiaming Yuan,True
441,3.0,Jiaming Yuan,True
440,3.0,Jiaming Yuan,True
439,3.0,Jiaming Yuan,True
438,3.0,Jiaming Yuan,True
437,3.0,Jiaming Yuan,True
436,3.0,dependabot[bot],True
435,3.0,Philip Hyunsu Cho,True
434,3.0,Jiaming Yuan,True
433,3.0,Jiaming Yuan,True
432,3.0,Quentin Fiard,True
431,3.0,Philip Hyunsu Cho,True
430,3.0,Jiaming Yuan,True
429,3.0,dependabot[bot],True
428,3.0,Philip Hyunsu Cho,True
427,3.0,Rong Ou,True
426,3.0,Jiaming Yuan,True
425,3.0,Jiaming Yuan,True
424,3.0,Jiaming Yuan,True
423,3.0,Jiaming Yuan,True
422,3.0,Jiaming Yuan,True
421,3.0,Jiaming Yuan,True
420,3.0,Jiaming Yuan,True
419,3.0,Jiaming Yuan,True
418,3.0,dependabot[bot],True
417,3.0,dependabot[bot],True
416,3.0,dependabot[bot],True
415,3.0,Jiaming Yuan,True
414,3.0,Jiaming Yuan,True
